Student_ID,Course_Name,Gender(F1),Major(F2),Level(F3),High_School_GPA(F4),Home_City_Code(F5),University_GPA(F6),Course_Type(F7),Teacher_Grade(F8),Grade
S0001,Eng101,F,SE,L1,EXCELLENT,IN_REGION,GOOD,L,NACDM,80
S0002,Phys101,F,CS,L1,GOOD,IN_REGION,VERYGOOD,C,PROF,60
S0003,Chem101,F,SE,L3,VERYGOOD,OUT_REGION,PASS,L,PROF,80
S0004,Bio101,M,CS,L2,VERYGOOD,IN_REGION,EXCELLENT,B,NACDM,99
S0005,Chem101,M,SE,L1,PASS,OUT_REGION,GOOD,B,ASOC,97
S0006,Eng101,M,IT,L3,GOOD,IN_REGION,EXCELLENT,L,PROF,54
S0007,Bio101,M,SE,L3,EXCELLENT,OUT_REGION,PASS,L,NACDM,63
S0008,Phys101,F,IT,L3,EXCELLENT,OUT_REGION,EXCELLENT,C,ASSTS,56
S0009,Bio101,F,SE,L4,PASS,OUT_REGION,VERYGOOD,B,NACDM,61
S0010,Eng101,F,IS,L2,GOOD,IN_REGION,VERYGOOD,L,LECTR,96
S0011,Bio101,M,IT,L2,EXCELLENT,IN_REGION,PASS,C,ASSTS,86
S0012,Eng101,F,CS,L2,GOOD,OUT_REGION,EXCELLENT,L,PROF,98
S0013,Chem101,F,SE,L2,VERYGOOD,OUT_REGION,GOOD,C,ASOC,57
S0014,Phys101,M,CS,L4,EXCELLENT,IN_REGION,EXCELLENT,B,NACDM,82
S0015,Phys101,M,SE,L4,PASS,IN_REGION,VERYGOOD,L,LECTR,67
S0016,Chem101,F,CS,L2,GOOD,OUT_REGION,PASS,B,ASSTS,60
S0017,Math101,F,SE,L4,VERYGOOD,OUT_REGION,PASS,L,ASOC,73
S0018,Phys101,F,IS,L2,GOOD,OUT_REGION,GOOD,C,NACDM,66
S0019,Math101,M,SE,L3,VERYGOOD,OUT_REGION,PASS,B,NACDM,62
S0020,Eng101,M,IS,L1,PASS,OUT_REGION,GOOD,L,NACDM,62
S0021,Math101,M,IT,L3,GOOD,IN_REGION,EXCELLENT,B,ASOC,82
S0022,Chem101,M,IS,L4,PASS,IN_REGION,EXCELLENT,C,LECTR,98
S0023,Bio101,F,IT,L4,GOOD,OUT_REGION,GOOD,C,ASSTS,66
S0024,Chem101,M,IS,L4,EXCELLENT,OUT_REGION,PASS,L,NACDM,76
S0025,Phys101,F,SE,L3,GOOD,OUT_REGION,EXCELLENT,L,ASSTS,59
S0026,Phys101,M,IS,L1,EXCELLENT,IN_REGION,VERYGOOD,B,NACDM,87
S0027,Phys101,F,IS,L1,GOOD,OUT_REGION,GOOD,C,ASOC,83
S0028,Chem101,F,IS,L4,EXCELLENT,OUT_REGION,EXCELLENT,B,ASSTS,62
S0029,Phys101,M,IS,L1,VERYGOOD,OUT_REGION,GOOD,L,LECTR,99
S0030,Math101,F,IT,L1,PASS,OUT_REGION,EXCELLENT,B,PROF,67
S0031,Bio101,F,IT,L3,EXCELLENT,OUT_REGION,PASS,L,NACDM,73
S0032,Bio101,M,IS,L1,EXCELLENT,OUT_REGION,PASS,C,ASSTS,100
S0033,Math101,F,IS,L1,PASS,IN_REGION,VERYGOOD,L,ASOC,70
S0034,Math101,F,IT,L1,GOOD,OUT_REGION,EXCELLENT,L,LECTR,97
S0035,Math101,F,IS,L3,PASS,OUT_REGION,PASS,C,ASOC,52
S0036,Math101,M,IS,L3,PASS,IN_REGION,VERYGOOD,C,ASSTS,50
S0037,Chem101,F,SE,L4,GOOD,IN_REGION,VERYGOOD,L,ASOC,69
S0038,Eng101,M,SE,L3,GOOD,IN_REGION,GOOD,L,LECTR,99
S0039,Math101,F,IT,L2,PASS,OUT_REGION,GOOD,L,PROF,55
S0040,Chem101,M,IT,L1,GOOD,IN_REGION,GOOD,L,ASSTS,52
S0041,Eng101,F,CS,L1,PASS,IN_REGION,VERYGOOD,B,LECTR,98
S0042,Eng101,F,SE,L3,PASS,OUT_REGION,VERYGOOD,C,NACDM,65
S0043,Phys101,M,CS,L2,GOOD,OUT_REGION,EXCELLENT,L,ASSTS,90
S0044,Eng101,M,SE,L2,VERYGOOD,IN_REGION,GOOD,C,NACDM,95
S0045,Bio101,F,SE,L1,EXCELLENT,IN_REGION,VERYGOOD,C,NACDM,77
S0046,Bio101,M,IT,L2,PASS,IN_REGION,VERYGOOD,C,PROF,51
S0047,Eng101,M,CS,L4,PASS,OUT_REGION,VERYGOOD,L,NACDM,80
S0048,Bio101,M,CS,L4,PASS,OUT_REGION,EXCELLENT,C,LECTR,61
S0049,Math101,F,SE,L1,EXCELLENT,OUT_REGION,VERYGOOD,L,NACDM,95
S0050,Phys101,M,IS,L4,EXCELLENT,OUT_REGION,GOOD,L,LECTR,86
S0051,Chem101,M,IS,L2,VERYGOOD,IN_REGION,EXCELLENT,C,ASSTS,100
S0052,Eng101,M,SE,L4,PASS,IN_REGION,VERYGOOD,L,PROF,61
S0053,Math101,M,CS,L4,GOOD,IN_REGION,PASS,B,PROF,79
S0054,Phys101,M,IT,L3,PASS,IN_REGION,VERYGOOD,L,ASOC,75
S0055,Chem101,F,IS,L3,VERYGOOD,IN_REGION,PASS,L,ASSTS,100
S0056,Bio101,F,CS,L4,PASS,IN_REGION,EXCELLENT,C,ASSTS,70
S0057,Math101,F,CS,L1,VERYGOOD,IN_REGION,EXCELLENT,L,NACDM,96
S0058,Eng101,F,SE,L3,EXCELLENT,IN_REGION,PASS,L,ASSTS,93
S0059,Bio101,F,IS,L2,PASS,IN_REGION,GOOD,C,ASSTS,70
S0060,Phys101,M,IT,L2,GOOD,OUT_REGION,EXCELLENT,L,LECTR,85
S0061,Eng101,M,SE,L1,EXCELLENT,IN_REGION,EXCELLENT,B,PROF,63
S0062,Phys101,F,SE,L4,GOOD,IN_REGION,VERYGOOD,C,ASSTS,80
S0063,Chem101,M,IT,L2,VERYGOOD,OUT_REGION,GOOD,L,ASSTS,63
S0064,Math101,F,CS,L3,GOOD,IN_REGION,VERYGOOD,B,PROF,81
S0065,Chem101,M,IT,L2,GOOD,OUT_REGION,GOOD,C,PROF,79
S0066,Eng101,M,CS,L3,EXCELLENT,IN_REGION,PASS,L,LECTR,52
S0067,Chem101,F,CS,L2,VERYGOOD,IN_REGION,PASS,B,ASOC,62
S0068,Chem101,F,IS,L4,PASS,OUT_REGION,EXCELLENT,C,ASOC,60
S0069,Phys101,M,IS,L2,GOOD,IN_REGION,GOOD,L,NACDM,75
S0070,Eng101,M,SE,L2,EXCELLENT,IN_REGION,PASS,C,ASSTS,54
S0071,Phys101,F,CS,L4,PASS,IN_REGION,GOOD,B,ASSTS,54
S0072,Phys101,M,SE,L2,EXCELLENT,OUT_REGION,EXCELLENT,C,LECTR,72
S0073,Eng101,F,IT,L2,EXCELLENT,OUT_REGION,GOOD,C,NACDM,100
S0074,Chem101,M,IT,L4,VERYGOOD,IN_REGION,PASS,C,ASOC,62
S0075,Phys101,F,IS,L3,EXCELLENT,IN_REGION,GOOD,L,ASSTS,62
S0076,Bio101,F,IS,L4,PASS,OUT_REGION,VERYGOOD,B,PROF,65
S0077,Math101,M,SE,L3,EXCELLENT,IN_REGION,EXCELLENT,B,LECTR,74
S0078,Chem101,M,CS,L1,VERYGOOD,OUT_REGION,VERYGOOD,B,ASSTS,80
S0079,Chem101,M,IT,L4,EXCELLENT,IN_REGION,PASS,C,LECTR,88
S0080,Chem101,F,IS,L1,VERYGOOD,OUT_REGION,GOOD,L,ASOC,94
S0081,Eng101,M,SE,L3,VERYGOOD,IN_REGION,VERYGOOD,B,ASSTS,69
S0082,Chem101,F,SE,L2,PASS,OUT_REGION,PASS,L,LECTR,52
S0083,Phys101,F,IT,L3,VERYGOOD,IN_REGION,VERYGOOD,L,NACDM,92
S0084,Bio101,F,IS,L1,PASS,OUT_REGION,EXCELLENT,B,NACDM,70
S0085,Chem101,M,CS,L4,PASS,IN_REGION,EXCELLENT,C,NACDM,99
S0086,Eng101,F,SE,L2,VERYGOOD,IN_REGION,VERYGOOD,C,PROF,84
S0087,Eng101,F,CS,L1,VERYGOOD,IN_REGION,PASS,B,PROF,84
S0088,Math101,F,IS,L2,VERYGOOD,OUT_REGION,EXCELLENT,L,LECTR,72
S0089,Phys101,M,CS,L4,PASS,IN_REGION,EXCELLENT,B,NACDM,77
S0090,Bio101,F,SE,L3,EXCELLENT,OUT_REGION,GOOD,B,ASOC,83
S0091,Bio101,F,CS,L3,VERYGOOD,OUT_REGION,GOOD,C,ASSTS,55
S0092,Phys101,F,IS,L4,GOOD,IN_REGION,VERYGOOD,C,PROF,65
S0093,Eng101,F,IS,L1,VERYGOOD,IN_REGION,VERYGOOD,C,LECTR,83
S0094,Chem101,F,IS,L4,VERYGOOD,OUT_REGION,VERYGOOD,B,ASOC,71
S0095,Bio101,F,SE,L4,GOOD,IN_REGION,GOOD,B,ASOC,95
S0096,Chem101,F,IS,L4,GOOD,IN_REGION,PASS,C,ASOC,87
S0097,Phys101,F,IS,L1,PASS,IN_REGION,PASS,C,NACDM,72
S0098,Chem101,M,IS,L2,VERYGOOD,IN_REGION,VERYGOOD,C,PROF,53
S0099,Phys101,F,IT,L1,EXCELLENT,IN_REGION,PASS,B,ASOC,80
S0100,Bio101,M,IS,L4,PASS,OUT_REGION,PASS,C,ASSTS,92
S0101,Bio101,M,IT,L4,PASS,IN_REGION,GOOD,C,PROF,64
S0102,Bio101,F,CS,L3,EXCELLENT,IN_REGION,PASS,L,PROF,90
S0103,Chem101,F,IS,L2,GOOD,OUT_REGION,VERYGOOD,B,NACDM,83
S0104,Phys101,F,IS,L1,PASS,OUT_REGION,GOOD,C,PROF,87
S0105,Chem101,M,IS,L2,EXCELLENT,OUT_REGION,VERYGOOD,L,ASSTS,99
S0106,Phys101,F,CS,L3,VERYGOOD,IN_REGION,VERYGOOD,L,ASSTS,68
S0107,Chem101,M,IS,L1,GOOD,OUT_REGION,GOOD,L,ASSTS,100
S0108,Phys101,F,IT,L1,VERYGOOD,OUT_REGION,VERYGOOD,B,ASOC,66
S0109,Bio101,M,IS,L3,PASS,OUT_REGION,VERYGOOD,C,ASOC,57
S0110,Chem101,F,CS,L3,EXCELLENT,IN_REGION,GOOD,L,NACDM,89
S0111,Phys101,M,IT,L3,PASS,IN_REGION,GOOD,B,PROF,83
S0112,Bio101,F,CS,L4,PASS,IN_REGION,PASS,B,ASOC,62
S0113,Chem101,M,CS,L3,GOOD,IN_REGION,PASS,B,ASOC,92
S0114,Chem101,M,IS,L1,EXCELLENT,OUT_REGION,VERYGOOD,L,LECTR,78
S0115,Phys101,M,IT,L2,PASS,IN_REGION,PASS,L,ASSTS,90
S0116,Phys101,M,IS,L2,GOOD,OUT_REGION,EXCELLENT,C,PROF,75
S0117,Math101,M,SE,L3,VERYGOOD,OUT_REGION,EXCELLENT,B,NACDM,82
S0118,Eng101,F,CS,L3,PASS,OUT_REGION,EXCELLENT,B,ASSTS,99
S0119,Math101,F,SE,L2,PASS,IN_REGION,VERYGOOD,C,PROF,81
S0120,Bio101,F,IT,L3,GOOD,IN_REGION,VERYGOOD,B,NACDM,63
S0121,Bio101,F,CS,L2,VERYGOOD,IN_REGION,GOOD,C,LECTR,78
S0122,Chem101,M,CS,L1,PASS,OUT_REGION,PASS,C,PROF,58
S0123,Chem101,M,IT,L3,VERYGOOD,IN_REGION,VERYGOOD,B,ASSTS,63
S0124,Bio101,F,IT,L4,GOOD,IN_REGION,PASS,B,NACDM,66
S0125,Math101,M,SE,L2,VERYGOOD,IN_REGION,VERYGOOD,L,PROF,59
S0126,Chem101,M,SE,L2,EXCELLENT,IN_REGION,VERYGOOD,C,PROF,81
S0127,Eng101,F,IT,L2,VERYGOOD,OUT_REGION,VERYGOOD,B,PROF,94
S0128,Chem101,M,IT,L2,VERYGOOD,OUT_REGION,PASS,B,LECTR,72
S0129,Eng101,F,IS,L2,PASS,OUT_REGION,EXCELLENT,C,ASSTS,95
S0130,Bio101,M,IS,L1,VERYGOOD,OUT_REGION,PASS,C,ASOC,59
S0131,Bio101,F,IT,L1,VERYGOOD,IN_REGION,VERYGOOD,L,ASOC,82
S0132,Math101,M,IS,L4,EXCELLENT,OUT_REGION,VERYGOOD,C,NACDM,62
S0133,Phys101,F,SE,L1,EXCELLENT,OUT_REGION,GOOD,B,NACDM,71
S0134,Math101,M,IS,L2,GOOD,IN_REGION,PASS,C,ASOC,69
S0135,Bio101,M,CS,L3,EXCELLENT,IN_REGION,GOOD,C,LECTR,53
S0136,Eng101,M,SE,L4,EXCELLENT,OUT_REGION,GOOD,B,ASOC,97
S0137,Bio101,M,CS,L2,EXCELLENT,OUT_REGION,VERYGOOD,L,ASSTS,89
S0138,Chem101,M,IS,L1,PASS,IN_REGION,EXCELLENT,L,PROF,94
S0139,Eng101,F,CS,L1,GOOD,IN_REGION,GOOD,C,ASSTS,55
S0140,Math101,M,CS,L4,PASS,OUT_REGION,PASS,L,NACDM,51
S0141,Bio101,F,IT,L3,EXCELLENT,IN_REGION,GOOD,B,PROF,72
S0142,Math101,F,IS,L4,VERYGOOD,OUT_REGION,GOOD,L,ASSTS,86
S0143,Eng101,M,IS,L4,PASS,OUT_REGION,GOOD,L,LECTR,98
S0144,Phys101,F,IT,L4,EXCELLENT,IN_REGION,VERYGOOD,B,ASOC,54
S0145,Eng101,M,CS,L1,EXCELLENT,IN_REGION,GOOD,C,LECTR,98
S0146,Bio101,M,SE,L1,PASS,IN_REGION,EXCELLENT,L,PROF,100
S0147,Math101,M,SE,L3,VERYGOOD,IN_REGION,VERYGOOD,L,LECTR,90
S0148,Math101,M,IT,L3,GOOD,IN_REGION,VERYGOOD,C,ASOC,66
S0149,Bio101,M,CS,L2,PASS,OUT_REGION,VERYGOOD,B,NACDM,83
S0150,Chem101,M,SE,L2,PASS,OUT_REGION,GOOD,L,ASSTS,91
S0151,Eng101,M,SE,L3,VERYGOOD,IN_REGION,EXCELLENT,C,NACDM,94
S0152,Chem101,F,CS,L4,VERYGOOD,IN_REGION,PASS,C,ASOC,87
S0153,Math101,M,IT,L2,GOOD,OUT_REGION,GOOD,L,NACDM,92
S0154,Math101,M,SE,L2,PASS,IN_REGION,GOOD,B,NACDM,76
S0155,Phys101,F,IS,L2,VERYGOOD,OUT_REGION,EXCELLENT,L,ASSTS,93
S0156,Bio101,F,CS,L3,VERYGOOD,OUT_REGION,GOOD,B,ASSTS,58
S0157,Eng101,F,IS,L3,EXCELLENT,IN_REGION,EXCELLENT,L,PROF,83
S0158,Chem101,M,IT,L3,PASS,OUT_REGION,GOOD,L,ASSTS,75
S0159,Phys101,M,IS,L3,GOOD,IN_REGION,GOOD,C,LECTR,97
S0160,Bio101,F,IT,L3,VERYGOOD,OUT_REGION,GOOD,B,ASOC,69
S0161,Phys101,F,IS,L1,GOOD,IN_REGION,GOOD,C,ASOC,93
S0162,Math101,F,SE,L3,EXCELLENT,IN_REGION,PASS,L,ASOC,56
S0163,Eng101,M,IT,L2,GOOD,IN_REGION,PASS,B,ASSTS,60
S0164,Bio101,F,IS,L2,PASS,OUT_REGION,VERYGOOD,C,ASOC,62
S0165,Phys101,M,SE,L2,VERYGOOD,OUT_REGION,VERYGOOD,C,PROF,67
S0166,Phys101,F,IT,L3,VERYGOOD,IN_REGION,VERYGOOD,L,ASSTS,94
S0167,Math101,F,SE,L3,VERYGOOD,IN_REGION,EXCELLENT,B,PROF,88
S0168,Chem101,M,IT,L4,EXCELLENT,OUT_REGION,EXCELLENT,B,NACDM,88
S0169,Math101,M,SE,L3,EXCELLENT,OUT_REGION,EXCELLENT,C,PROF,94
S0170,Math101,F,IT,L2,EXCELLENT,IN_REGION,VERYGOOD,B,ASOC,84
S0171,Chem101,F,SE,L4,GOOD,IN_REGION,VERYGOOD,C,PROF,96
S0172,Bio101,F,SE,L3,VERYGOOD,IN_REGION,GOOD,C,PROF,86
S0173,Eng101,F,CS,L2,EXCELLENT,OUT_REGION,GOOD,L,ASSTS,78
S0174,Bio101,M,IT,L3,GOOD,OUT_REGION,VERYGOOD,L,LECTR,71
S0175,Phys101,F,IT,L3,EXCELLENT,IN_REGION,PASS,B,ASSTS,85
S0176,Bio101,F,CS,L3,EXCELLENT,OUT_REGION,PASS,B,PROF,74
S0177,Phys101,M,IS,L3,EXCELLENT,IN_REGION,GOOD,C,LECTR,62
S0178,Math101,F,IS,L3,GOOD,IN_REGION,EXCELLENT,L,PROF,93
S0179,Eng101,F,IT,L2,EXCELLENT,OUT_REGION,PASS,L,NACDM,82
S0180,Chem101,F,IS,L3,GOOD,OUT_REGION,VERYGOOD,B,PROF,89
S0181,Chem101,F,IS,L4,EXCELLENT,OUT_REGION,GOOD,L,ASOC,92
S0182,Eng101,F,CS,L2,EXCELLENT,IN_REGION,VERYGOOD,B,ASOC,98
S0183,Bio101,M,IS,L3,VERYGOOD,IN_REGION,VERYGOOD,L,ASSTS,68
S0184,Chem101,F,CS,L1,VERYGOOD,OUT_REGION,VERYGOOD,C,ASSTS,83
S0185,Chem101,M,CS,L4,VERYGOOD,IN_REGION,PASS,C,NACDM,63
S0186,Eng101,F,IT,L4,GOOD,IN_REGION,GOOD,L,LECTR,88
S0187,Chem101,M,CS,L4,VERYGOOD,OUT_REGION,GOOD,C,ASOC,89
S0188,Bio101,M,CS,L2,PASS,IN_REGION,PASS,L,LECTR,81
S0189,Math101,M,IT,L4,GOOD,IN_REGION,PASS,L,ASSTS,100
S0190,Chem101,F,SE,L4,PASS,IN_REGION,EXCELLENT,B,ASSTS,72
S0191,Chem101,M,IT,L3,PASS,OUT_REGION,EXCELLENT,B,LECTR,58
S0192,Phys101,M,SE,L3,EXCELLENT,IN_REGION,EXCELLENT,C,PROF,79
S0193,Chem101,M,IS,L4,EXCELLENT,IN_REGION,GOOD,L,PROF,60
S0194,Bio101,M,IT,L3,VERYGOOD,OUT_REGION,VERYGOOD,B,NACDM,57
S0195,Bio101,F,CS,L2,EXCELLENT,IN_REGION,GOOD,L,ASOC,93
S0196,Math101,F,CS,L1,PASS,IN_REGION,GOOD,L,NACDM,93
S0197,Math101,M,SE,L3,PASS,IN_REGION,VERYGOOD,C,ASOC,69
S0198,Phys101,M,CS,L1,EXCELLENT,OUT_REGION,PASS,B,LECTR,72
S0199,Chem101,M,IS,L2,VERYGOOD,IN_REGION,GOOD,L,LECTR,90
S0200,Eng101,F,IS,L2,PASS,IN_REGION,GOOD,C,NACDM,67
S0201,Bio101,M,CS,L2,VERYGOOD,OUT_REGION,GOOD,C,ASOC,97
S0202,Bio101,M,IS,L4,EXCELLENT,OUT_REGION,EXCELLENT,B,NACDM,76
S0203,Bio101,M,CS,L4,EXCELLENT,IN_REGION,GOOD,C,ASOC,69
S0204,Bio101,F,CS,L2,GOOD,OUT_REGION,PASS,B,NACDM,75
S0205,Eng101,F,SE,L2,EXCELLENT,IN_REGION,EXCELLENT,B,LECTR,59
S0206,Phys101,M,SE,L3,PASS,IN_REGION,VERYGOOD,B,ASOC,52
S0207,Eng101,M,IS,L2,EXCELLENT,OUT_REGION,GOOD,L,NACDM,79
S0208,Eng101,F,IS,L1,GOOD,IN_REGION,EXCELLENT,L,ASSTS,80
S0209,Chem101,F,SE,L3,GOOD,OUT_REGION,EXCELLENT,L,PROF,66
S0210,Bio101,F,SE,L2,VERYGOOD,IN_REGION,GOOD,B,NACDM,57
S0211,Eng101,M,IS,L4,VERYGOOD,IN_REGION,GOOD,C,PROF,59
S0212,Chem101,F,IS,L1,PASS,IN_REGION,EXCELLENT,L,LECTR,67
S0213,Phys101,F,IS,L3,GOOD,OUT_REGION,EXCELLENT,L,LECTR,64
S0214,Phys101,M,CS,L2,GOOD,IN_REGION,VERYGOOD,L,ASSTS,90
S0215,Eng101,F,SE,L4,EXCELLENT,OUT_REGION,PASS,C,NACDM,77
S0216,Eng101,F,SE,L3,PASS,OUT_REGION,EXCELLENT,C,ASSTS,68
S0217,Phys101,M,CS,L1,PASS,OUT_REGION,EXCELLENT,C,ASOC,82
S0218,Eng101,M,CS,L1,VERYGOOD,OUT_REGION,VERYGOOD,B,ASOC,88
S0219,Math101,F,IT,L3,EXCELLENT,IN_REGION,GOOD,L,PROF,69
S0220,Bio101,F,IT,L1,PASS,IN_REGION,PASS,B,ASOC,86
S0221,Bio101,F,IS,L3,EXCELLENT,IN_REGION,VERYGOOD,B,ASOC,98
S0222,Math101,M,IT,L3,GOOD,IN_REGION,VERYGOOD,B,ASSTS,64
S0223,Bio101,M,SE,L3,VERYGOOD,OUT_REGION,EXCELLENT,L,ASOC,58
S0224,Phys101,M,SE,L4,PASS,OUT_REGION,EXCELLENT,L,PROF,94
S0225,Phys101,M,SE,L4,GOOD,OUT_REGION,EXCELLENT,L,LECTR,93
S0226,Bio101,M,IS,L3,GOOD,IN_REGION,GOOD,B,ASSTS,87
S0227,Bio101,F,SE,L4,VERYGOOD,OUT_REGION,VERYGOOD,L,ASSTS,50
S0228,Bio101,M,IS,L3,EXCELLENT,IN_REGION,PASS,B,ASSTS,81
S0229,Math101,F,CS,L1,VERYGOOD,OUT_REGION,EXCELLENT,B,ASOC,56
S0230,Phys101,F,IT,L1,EXCELLENT,IN_REGION,VERYGOOD,B,PROF,57
S0231,Math101,F,IS,L2,VERYGOOD,OUT_REGION,PASS,L,ASSTS,70
S0232,Phys101,M,IT,L1,PASS,OUT_REGION,EXCELLENT,B,ASSTS,97
S0233,Phys101,F,SE,L4,EXCELLENT,IN_REGION,EXCELLENT,C,ASOC,76
S0234,Phys101,F,IS,L2,VERYGOOD,IN_REGION,VERYGOOD,L,NACDM,64
S0235,Math101,M,IT,L2,VERYGOOD,IN_REGION,EXCELLENT,L,LECTR,50
S0236,Eng101,M,IT,L4,EXCELLENT,OUT_REGION,PASS,B,ASSTS,99
S0237,Chem101,M,IT,L3,VERYGOOD,OUT_REGION,GOOD,B,PROF,56
S0238,Math101,M,IT,L2,GOOD,IN_REGION,VERYGOOD,C,NACDM,57
S0239,Math101,M,IT,L2,EXCELLENT,OUT_REGION,GOOD,C,LECTR,96
S0240,Chem101,M,CS,L2,PASS,OUT_REGION,PASS,C,NACDM,55
S0241,Math101,F,IT,L3,EXCELLENT,IN_REGION,GOOD,L,LECTR,83
S0242,Chem101,M,CS,L1,VERYGOOD,OUT_REGION,VERYGOOD,B,NACDM,57
S0243,Math101,M,CS,L4,GOOD,OUT_REGION,VERYGOOD,C,ASOC,86
S0244,Eng101,F,IT,L4,GOOD,IN_REGION,GOOD,B,NACDM,57
S0245,Chem101,F,CS,L1,EXCELLENT,IN_REGION,VERYGOOD,L,NACDM,61
S0246,Chem101,M,CS,L3,EXCELLENT,OUT_REGION,GOOD,B,PROF,65
S0247,Phys101,M,IS,L4,EXCELLENT,IN_REGION,VERYGOOD,L,ASSTS,55
S0248,Phys101,M,IT,L4,GOOD,IN_REGION,PASS,B,ASOC,88
S0249,Eng101,M,SE,L4,GOOD,IN_REGION,PASS,L,LECTR,68
S0250,Math101,M,IS,L4,VERYGOOD,OUT_REGION,GOOD,B,ASSTS,50
S0251,Math101,M,CS,L4,EXCELLENT,OUT_REGION,GOOD,C,ASOC,75
S0252,Chem101,F,SE,L3,VERYGOOD,OUT_REGION,EXCELLENT,C,LECTR,97
S0253,Phys101,M,CS,L1,VERYGOOD,OUT_REGION,GOOD,L,PROF,99
S0254,Phys101,F,CS,L2,GOOD,OUT_REGION,EXCELLENT,B,PROF,73
S0255,Eng101,F,IS,L4,GOOD,IN_REGION,VERYGOOD,C,PROF,72
S0256,Chem101,F,IT,L1,PASS,OUT_REGION,GOOD,C,LECTR,91
S0257,Bio101,F,CS,L1,GOOD,OUT_REGION,EXCELLENT,B,ASSTS,79
S0258,Eng101,M,SE,L2,PASS,IN_REGION,EXCELLENT,C,ASSTS,90
S0259,Chem101,F,IS,L1,EXCELLENT,IN_REGION,PASS,L,ASSTS,76
S0260,Chem101,F,IS,L4,VERYGOOD,OUT_REGION,GOOD,L,PROF,59
S0261,Bio101,F,IS,L3,VERYGOOD,IN_REGION,GOOD,L,ASSTS,60
S0262,Phys101,M,SE,L1,EXCELLENT,IN_REGION,EXCELLENT,C,ASOC,79
S0263,Phys101,F,IT,L1,EXCELLENT,IN_REGION,VERYGOOD,C,PROF,72
